指标/场次,场均,总计,2026-05-21 09:28:38
曝光人数,"34,180","34,180","34,180"
累计观看人数,"1,258","1,258","1,258"
曝光进入率,3.68%,-,3.68%
直播间成交金额,0,0,0
订单人数,0,0,0
营销订单数,0,0,0
填手机号,0,0,0
营销消耗,"1,062","1,061.58","1,061.58"
全场景留资人数,4,4,4
订单成本,0,0,0
线索成本,265,265.4,265.4
涨粉量,5,5,5
评论次数,48,48,48
评论人数,14,14,14
>1分钟观看次数,46,46,46
人均观看时长,30秒,-,30秒
粉丝停留,25分14秒,-,25分14秒
最高在线人数,16,16,16
互动次数,305,305,305
互动人数,24,24,24
互动率,1.91%,-,1.91%
加粉丝团人数,0,0,0
加团率,0.00%,-,0.00%
风车房子点击次数,31,31,31
点击率,2.26%,-,2.26%
打赏金额,0,0,0
打赏次数,0,0,0
评论率,1.11%,-,1.11%
线索转化率,0.32%,-,0.32%
点赞率,1.03%,-,1.03%
点赞人数,13,13,13
点赞次数,257,257,257
商品曝光次数,0,0,0
商品点击次数,18,18,18
商品点击率,1.11%,-,1.11%
关注率,0.40%,-,0.40%
分享次数,0,0,0
分享人数,0,0,0
千次观看GMV,0,0,0
粉丝占比,0.72%,-,0.72%
曝光次数,4.4万,4.4万,4.4万
直播间观看次数,1373,1373,1373
